,원소,원자번호,원자량,원자 반지름(pm),1차 이온화 에너지(kJ/mol),전기음성도(파울링 값),전자배치,최외각 전자수,유효핵전하량
0,H,1,1.00794,5.3e-11,72.8,2.2,[1],1.0,0.65
1,He,2,4.002602,3.1e-11,0.0,,[2],2.0,1.3
2,Li,3,6.941,1.67e-10,59.6,0.98,"[2, 1]",1.0,0.9500000000000002
3,Be,4,9.012182,1.12e-10,0.0,1.57,"[2, 2]",2.0,1.6
4,B,5,10.811,8.7e-11,26.7,2.04,"[2, 3]",3.0,2.25
5,C,6,12.0107,6.7e-11,153.9,2.55,"[2, 4]",4.0,2.9000000000000004
6,N,7,14.0067,5.6e-11,7.0,3.04,"[2, 5]",5.0,3.55
7,O,8,15.9994,4.8e-11,141.0,3.44,"[2, 6]",6.0,4.2
8,F,9,18.9984032,4.2e-11,328.0,3.98,"[2, 7]",7.0,4.8500000000000005
9,Ne,10,20.1797,3.8e-11,0.0,,"[2, 8]",8.0,5.5
10,Na,11,22.98977,1.9e-10,52.8,0.93,"[2, 8, 1]",1.0,1.85
11,Mg,12,24.305,1.45e-10,0.0,1.31,"[2, 8, 2]",2.0,2.5
12,Al,13,26.981538,1.18e-10,42.5,1.61,"[2, 8, 3]",3.0,3.1499999999999986
13,Si,14,28.0855,1.11e-10,133.6,1.9,"[2, 8, 4]",4.0,3.799999999999999
14,P,15,30.973761,9.8e-11,72.0,2.19,"[2, 8, 5]",5.0,4.449999999999999
15,S,16,32.065,8.8e-11,200.0,2.58,"[2, 8, 6]",6.0,5.1
16,Cl,17,35.453,7.9e-11,349.0,3.16,"[2, 8, 7]",7.0,5.75
17,Ar,18,39.948,7.1e-11,0.0,,"[2, 8, 8]",8.0,6.399999999999999
18,K,19,39.0983,2.43e-10,48.4,0.82,"[2, 8, 9]",9.0,7.049999999999999
19,Ca,20,40.078,1.94e-10,2.37,1.0,"[2, 8, 10]",10.0,7.699999999999999
20,Sc,21,44.95591,1.84e-10,18.1,1.36,"[2, 8, 11]",11.0,8.35
21,Ti,22,47.867,1.76e-10,7.6,1.54,"[2, 8, 12]",12.0,9.0
22,V,23,50.9415,1.71e-10,50.6,1.63,"[2, 8, 13]",13.0,9.65
23,Cr,24,51.9961,1.66e-10,64.3,1.66,"[2, 8, 14]",14.0,10.3
24,Mn,25,54.938049,1.61e-10,0.0,1.55,"[2, 8, 15]",15.0,10.95
25,Fe,26,55.845,1.56e-10,15.7,1.83,"[2, 8, 16]",16.0,11.6
26,Co,27,58.9332,1.52e-10,63.7,1.88,"[2, 8, 17]",17.0,12.25
27,Ni,28,58.6934,1.49e-10,112.0,1.91,"[2, 8, 18]",18.0,12.9
28,Cu,29,63.546,1.45e-10,118.4,1.9,"[2, 8, 18, 1]",1.0,3.3500000000000014
29,Zn,30,65.409,1.42e-10,0.0,1.65,"[2, 8, 18, 2]",2.0,4.000000000000004
30,Ga,31,69.723,1.36e-10,28.9,1.81,"[2, 8, 18, 3]",3.0,4.650000000000002
31,Ge,32,72.64,1.25e-10,119.0,2.01,"[2, 8, 18, 4]",4.0,5.300000000000004
32,As,33,74.9216,1.14e-10,78.0,2.18,"[2, 8, 18, 5]",5.0,5.950000000000003
33,Se,34,78.96,1.03e-10,195.0,2.55,"[2, 8, 18, 6]",6.0,6.600000000000001
34,Br,35,79.904,9.4e-11,324.6,2.96,"[2, 8, 18, 7]",7.0,7.2500000000000036
35,Kr,36,83.798,8.8e-11,0.0,3.0,"[2, 8, 18, 8]",8.0,7.900000000000002
36,Rb,37,85.4678,2.65e-10,46.9,0.82,"[2, 8, 18, 9]",9.0,8.550000000000004
37,Sr,38,87.62,2.19e-10,5.03,0.95,"[2, 8, 18, 10]",10.0,9.200000000000005
38,Y,39,88.90585,2.12e-10,29.6,1.22,"[2, 8, 18, 11]",11.0,9.85
39,Zr,40,91.224,2.06e-10,41.1,1.33,"[2, 8, 18, 12]",12.0,10.500000000000004
40,Nb,41,92.90638,1.98e-10,86.1,1.6,"[2, 8, 18, 13]",13.0,11.150000000000002
41,Mo,42,95.94,1.9e-10,71.9,2.16,"[2, 8, 18, 14]",14.0,11.800000000000004
42,Tc,43,98.0,1.83e-10,53.0,1.9,"[2, 8, 18, 15]",15.0,12.450000000000005
43,Ru,44,101.07,1.78e-10,101.3,2.2,"[2, 8, 18, 16]",16.0,13.1
44,Rh,45,102.9055,1.73e-10,109.7,2.28,"[2, 8, 18, 17]",17.0,13.750000000000004
45,Pd,46,106.42,1.69e-10,53.7,2.2,"[2, 8, 18, 18]",18.0,14.400000000000002
46,Ag,47,107.8682,1.65e-10,125.6,1.93,"[2, 8, 18, 19]",19.0,15.050000000000004
47,Cd,48,112.411,1.61e-10,0.0,1.69,"[2, 8, 18, 20]",20.0,15.700000000000005
48,In,49,114.818,1.56e-10,28.9,1.78,"[2, 8, 18, 21]",21.0,16.35
49,Sn,50,118.71,1.45e-10,107.3,1.96,"[2, 8, 18, 22]",22.0,17.0
50,Sb,51,121.76,1.33e-10,103.2,2.05,"[2, 8, 18, 23]",23.0,17.650000000000006
51,Te,52,127.6,1.23e-10,190.2,2.1,"[2, 8, 18, 24]",24.0,18.300000000000004
52,I,53,126.90447,1.15e-10,295.2,2.66,"[2, 8, 18, 25]",25.0,18.950000000000003
53,Xe,54,131.293,1.08e-10,0.0,2.6,"[2, 8, 18, 26]",26.0,19.6
54,Cs,55,132.90545,2.98e-10,45.5,0.79,"[2, 8, 18, 27]",27.0,20.25
55,Ba,56,137.327,2.53e-10,13.95,0.89,"[2, 8, 18, 28]",28.0,20.90000000000001
58,Pr,59,140.90765,2.47e-10,50.0,1.13,"[2, 8, 18, 31]",31.0,22.85
59,Nd,60,144.24,2.06e-10,50.0,1.14,"[2, 8, 18, 32]",32.0,23.5
60,Pm,61,145.0,2.05e-10,50.0,,"[2, 8, 18, 32, 1]",1.0,5.449999999999996
61,Sm,62,150.36,2.38e-10,50.0,1.17,"[2, 8, 18, 32, 2]",2.0,6.099999999999994
62,Eu,63,151.964,2.31e-10,50.0,,"[2, 8, 18, 32, 3]",3.0,6.75
63,Gd,64,157.25,2.33e-10,50.0,1.2,"[2, 8, 18, 32, 4]",4.0,7.399999999999999
64,Tb,65,158.92534,2.25e-10,50.0,,"[2, 8, 18, 32, 5]",5.0,8.049999999999997
65,Dy,66,162.5,2.28e-10,50.0,1.22,"[2, 8, 18, 32, 6]",6.0,8.699999999999996
66,Ho,67,164.93032,2.26e-10,50.0,1.23,"[2, 8, 18, 32, 7]",7.0,9.349999999999994
67,Er,68,167.259,2.26e-10,50.0,1.24,"[2, 8, 18, 32, 8]",8.0,10.0
68,Tm,69,168.93421,2.22e-10,50.0,1.25,"[2, 8, 18, 32, 9]",9.0,10.65
69,Yb,70,173.04,2.22e-10,50.0,,"[2, 8, 18, 32, 10]",10.0,11.299999999999995
70,Lu,71,174.967,2.17e-10,50.0,1.27,"[2, 8, 18, 32, 11]",11.0,11.949999999999996
71,Hf,72,178.49,2.08e-10,0.0,1.3,"[2, 8, 18, 32, 12]",12.0,12.599999999999994
72,Ta,73,180.9479,2e-10,31.0,1.5,"[2, 8, 18, 32, 13]",13.0,13.25
73,W,74,183.84,1.93e-10,78.6,2.36,"[2, 8, 18, 32, 14]",14.0,13.9
74,Re,75,186.207,1.88e-10,14.5,1.9,"[2, 8, 18, 32, 15]",15.0,14.549999999999995
75,Os,76,190.23,1.85e-10,106.1,2.2,"[2, 8, 18, 32, 16]",16.0,15.199999999999996
76,Ir,77,192.217,1.8e-10,151.0,2.2,"[2, 8, 18, 32, 17]",17.0,15.849999999999994
77,Pt,78,195.078,1.77e-10,205.3,2.28,"[2, 8, 18, 32, 18]",18.0,16.5
78,Au,79,196.96655,1.74e-10,222.8,2.54,"[2, 8, 18, 32, 19]",19.0,17.15
79,Hg,80,200.59,1.71e-10,0.0,2.0,"[2, 8, 18, 32, 20]",20.0,17.799999999999997
80,Tl,81,204.3833,1.56e-10,19.2,1.62,"[2, 8, 18, 32, 21]",21.0,18.45
81,Pb,82,207.2,1.54e-10,35.1,2.33,"[2, 8, 18, 32, 22]",22.0,19.099999999999994
82,Bi,83,208.98038,1.43e-10,91.2,2.02,"[2, 8, 18, 32, 23]",23.0,19.75
83,Po,84,209.0,1.35e-10,183.3,2.0,"[2, 8, 18, 32, 24]",24.0,20.4
84,At,85,210.0,1.27e-10,270.1,2.2,"[2, 8, 18, 32, 25]",25.0,21.05
85,Rn,86,222.0,1.2e-10,0.0,,"[2, 8, 18, 32, 26]",26.0,21.700000000000003
